[2025-12-10 15:02:20,516] [INFO]    US Southwest: 622 buildings
[2025-12-10 15:02:20,516] [INFO]    France: 545 buildings
[2025-12-10 15:02:20,516] [INFO]    Japan: 387 buildings
[2025-12-10 15:02:20,517] [INFO]    US Northeast: 380 buildings
[2025-12-10 15:02:20,517] [INFO]    China: 371 buildings
[2025-12-10 15:02:20,518] [INFO]    Germany: 368 buildings
[2025-12-10 15:02:21,332] [INFO]  Modified 86 zones, added 115505 cross-region building references.
[2025-12-10 15:02:21,334] [INFO]  === Universal Zone System Results ===
[2025-12-10 15:02:21,342] [INFO]    ResidentialLow: 1654 buildings [Generic:426, Netherlands:235, North America:220, European:220, US Southwest:172, Eastern Europe:125, China:125, Japan:105, France:25, US Northeast:1]
[2025-12-10 15:02:21,347] [INFO]    ResidentialMedium: 1924 buildings [Netherlands:410, France:266, Germany:235, Generic:213, Eastern Europe:160, US Southwest:145, European:122, North America:122, Japan:105, US Northeast:100, China:46]
[2025-12-10 15:02:21,349] [INFO]    ResidentialHigh: 602 buildings [Eastern Europe:180, China:112, Generic:83, European:78, North America:78, US Northeast:41, US Southwest:30]
[2025-12-10 15:02:21,353] [INFO]    ResidentialMixed: 1713 buildings [North America:483, European:483, Generic:139, France:137, Germany:130, US Northeast:120, Japan:85, Eastern Europe:81, US Southwest:55]
[2025-12-10 15:02:21,357] [INFO]    CommercialLow: 1051 buildings [North America:309, European:309, US Southwest:128, Eastern Europe:92, Japan:90, Generic:87, US Northeast:35, China:1]
[2025-12-10 15:02:21,357] [INFO]    CommercialHigh: 178 buildings [European:78, North America:78, Generic:11, Germany:3, China:2, US Northeast:2, Eastern Europe:2, France:1, US Southwest:1]
[2025-12-10 15:02:21,358] [INFO]    OfficeLow: 167 buildings [US Southwest:90, Generic:75, Eastern Europe:1, China:1]
[2025-12-10 15:02:21,361] [INFO]    OfficeHigh: 366 buildings [France:116, China:84, US Northeast:81, Generic:81, Japan:2, Eastern Europe:1, US Southwest:1]
[2025-12-10 15:02:21,361] [INFO]  === End Results ===
[2025-12-10 15:02:21,361] [INFO]  Universal Zone creation complete!
[2025-12-10 15:02:22,008] [INFO]  === Adding Universal Zone Links to Buildings ===
[2025-12-10 15:02:22,069] [INFO]  Added UniversalZoneLink to 7655 buildings:
[2025-12-10 15:02:22,070] [INFO]    OfficeLow: 167 buildings
[2025-12-10 15:02:22,070] [INFO]    OfficeHigh: 366 buildings
[2025-12-10 15:02:22,070] [INFO]    ResidentialMedium: 1924 buildings
[2025-12-10 15:02:22,071] [INFO]    ResidentialLow: 1654 buildings
[2025-12-10 15:02:22,071] [INFO]    ResidentialHigh: 602 buildings
[2025-12-10 15:02:22,072] [INFO]    CommercialLow: 1051 buildings
[2025-12-10 15:02:22,072] [INFO]    ResidentialMixed: 1713 buildings
[2025-12-10 15:02:22,072] [INFO]    CommercialHigh: 178 buildings
[2025-12-10 15:02:22,073] [INFO]  Original zone references are PRESERVED - regional zones still work!
[2025-12-10 15:02:22,073] [INFO]  Registering universal zones with Harmony patches...
[2025-12-10 15:02:22,075] [INFO]  [Harmony] Registered universal zone: Entity 63672 -> ResidentialLow
[2025-12-10 15:02:22,076] [INFO]  [Harmony] Registered universal zone: Entity 63673 -> ResidentialMedium
[2025-12-10 15:02:22,076] [INFO]  [Harmony] Registered universal zone: Entity 63674 -> ResidentialHigh
[2025-12-10 15:02:22,077] [INFO]  [Harmony] Registered universal zone: Entity 63675 -> ResidentialMixed
[2025-12-10 15:02:22,077] [INFO]  [Harmony] Registered universal zone: Entity 63676 -> CommercialLow
[2025-12-10 15:02:22,077] [INFO]  [Harmony] Registered universal zone: Entity 63677 -> CommercialHigh
[2025-12-10 15:02:22,077] [INFO]  [Harmony] Registered universal zone: Entity 63678 -> OfficeLow
[2025-12-10 15:02:22,077] [INFO]  [Harmony] Registered universal zone: Entity 63679 -> OfficeHigh
[2025-12-10 15:02:22,078] [INFO]  [Harmony] Initializing building cache...
[2025-12-10 15:02:22,111] [INFO]  [Harmony] Building cache initialized with 7655 buildings
[2025-12-10 15:02:22,112] [INFO]    ResidentialLow: 1654 buildings
[2025-12-10 15:02:22,112] [INFO]    ResidentialMedium: 1924 buildings
[2025-12-10 15:02:22,113] [INFO]    ResidentialHigh: 602 buildings
[2025-12-10 15:02:22,113] [INFO]    ResidentialMixed: 1713 buildings
[2025-12-10 15:02:22,113] [INFO]    CommercialLow: 1051 buildings
[2025-12-10 15:02:22,114] [INFO]    CommercialHigh: 178 buildings
[2025-12-10 15:02:22,114] [INFO]    OfficeLow: 167 buildings
[2025-12-10 15:02:22,114] [INFO]    OfficeHigh: 366 buildings
[2025-12-10 15:02:22,115] [INFO]  [Harmony] ZoneSpawnSystemPatch systems initialized.
[2025-12-10 15:02:22,115] [INFO]  === Universal Zone Links Complete ===
